,review_comment_message,review_score,sentimento
108,OK RECOMENDO,5,positivo
111,"Produto de muito boa qualidade, chegou antes do prazo prometido",5,positivo
115,"Este foi o pedido
Balde Com 128 Peças - Blocos De Montar 2 un - R$ 25,00 cada (NÃO FOI ENTREGUE)
Vendido e entregue targaryen
Tapete de Eva Nº Letras 36 Peças Crianças 1 un - R$ 35,90 (ESTE FOI ENTREG",1,negativo
116,"Entrega muito rápida
Parabéns",5,positivo
119,comprei tres pacotes de cinco folhas cada de papel transfer para tecido escuro e so recebi dois,1,negativo
121,"Estava faltando apenas um produto, eu recebi hoje , muito obrigada!
Tudo certo!

Att 

Elenice.",4,positivo
127,"A bolsa térmica além de linda é super espaçosa . Produto de acordo com o anunciado e a entrega super rápida , entregou bem antes do prazo .",5,positivo
128,Demorou de mais pra entrega ,2,negativo
130,super rapido a entrega .... chegou antes da data... ,5,positivo
132,Não funciona não faz sincronismo,1,negativo
133,Recomendo a todos os clientes,5,positivo
142,OTIMA,5,positivo
143,"Gostei muito do jogo de banho.A estampa florida, o bordado, tudo muito bonito. Ótimo produto.",5,positivo
145,"Chegou apenas uma peça, mas na nota e na garantia constam as duas joias.",1,negativo
149,EU NÃO RECEBI O PRODUTO E CONSTA NO SISTEMA QUE EU RECEBI ALÉM DE PAGAR CARO DO FRETE ,1,negativo
150,"Comprei o relógio, unissex e enviaram um relógio feminino, bem menor que as especificações do anúncio.",1,negativo
151,Sempre compro na lannister.Pra mim é a melhor loja on-line,5,positivo
152,Produto de qualidade excelente,5,positivo
159,Ótimo custo-benefício,5,positivo
160,OK,5,positivo
163,Gostei da atenção com a entrega,5,positivo
166," Se fosse vidro tinha quebrado; veio na caixa sem nenhuma proteção por dentro, a caixa estava muito amassada. Desculpe.. mas gosto de comprar de vcs
.",4,positivo
167,A peça não serviu,1,negativo
168,Comprei o produto dia 25 de fevereiro e hoje dia 29 de marco não fora entregue na minha residência. Não sei se os correios desse Brasil e péssimo ou foi a própria loja que demorou postar.,1,negativo
169,"fiz minha compra faz 30 dias e não recebi ainda meu produto.
Precisa melhorar nas entregas",1,negativo
170,"Espero receber esta semana, o que não seria tão extravagante, porém...mais atrazo do que isso me faria desistir do baratheon.",5,positivo
174,"Entregou no prazo certo, fiquei feliz com a compra que fiz",5,positivo
178,Lindo relógio adorei,5,positivo
185,Muito bom alta qualidade!,5,positivo
188,"Produto bonito, entregue bem valado e dentro do prazo. Recomendo!",5,positivo
189,Muito bom,5,positivo
190,Faltou 1 produto e os que recebi 1 veio quebrado,1,negativo
191,"chegou dentro do prazo e o produto é de excelente qualidade! Acabou as dores nas costas, estou dormindo muito bem!",5,positivo
197,aqui está descrevendo como entregue só que ate agora não recebi,1,negativo
198,"Acho que rastreando o produto devia ser melhor e mais preciso, mas no geral foi uma ótima experiência ",5,positivo
199,Ainda não tive a oportunidade de testar,5,positivo
204,nada a declarar,5,positivo
213,O produto chegou muito rapido e de boa qualidade recomendo o produto,5,positivo
221,"Não posso! Estou aguardando a chegada do produto que comprei!Logo que isso aconteça, terei minha opinião formada!",1,negativo
223,Comprei dois produtos e recebi somente um. Mandei dois emails para a loja e não tive nenhum retorno. Estou insatisfeita.,1,negativo
228,Recomendo,5,positivo
229,Atendeu minha expectativa.,4,positivo
230,Entrega antes do prazo. Produto muito prático e de fácil manuseio. ,5,positivo
235,"otimo produto só nao veio manual, mas sem problemas.",5,positivo
236,"Uma das peças não encaixava, estava de diâmetro diferente. Eu tive que serrar e martelar para poder caber e encaixar.
De resto, tudo ok.",4,positivo
237,Excelente produto.,5,positivo
238,Tudo certo,5,positivo
239,"Demora na entrega, detestei o atendimento e NUNCA mais compro. baratheon quando vendia por eles mesmos era bem melhor! ",1,negativo
240,Produto muito bom,5,positivo
241,o meu produto não chegou... segundo o rastreio está parado em Ribeirão Preto sp... ,1,negativo
242,produto deu defeito na 1 vez de uso.,1,negativo
244,super recomendo produto profissional de qualidade,5,positivo
245,até agora não recebi o produto.,1,negativo
248, A loja anuncia um produto e entrega outro.,1,negativo
249,muito bom e rapido quando vi ja tinha chegado,5,positivo
251,O produto chegou muito bem,5,positivo
252,otimo,5,positivo
254,Muito satisfeito,5,positivo
255,parabéns para loja e revendedor apesar de ter demorado um pouco,4,positivo
257,"Entregue dentro do prazo, e com bom período de validade.",5,positivo
258,"O Jogo de toalhas é lindo mais bonito do que na foto, amei.",5,positivo
259,produto foi entregue com umas das alças com problemas (está faltando 1 pino de fixação),1,negativo
262,Foi marcado o dia 14/02 para entrega do pedido e no rastreamento marcava que o produto já havia sido entregue na data mas na realidade não foi entregue. O produto só foi entregue no dia 28/02.,2,negativo
263,"LOJA ALÉM DO FRETE SER MUITO CARO . O PRODUTO LEVA QUASE 30 DIAS ÚTEIS , PARA CHEGAR NA SUA CASA",2,negativo
267,"Recebi bem rápido, porém veio outro produto, e não o que eu pedi, o modelo veio diferente, a cor, veio uma capinha que não tem zíper, enfim, não recomendo. ",1,negativo
272,sempre comprei no stark e estou satisfeito.,5,positivo
273,fiz a compra por tabela e graças A Deus deu tudo certo fico muito grato pode confiar.,5,positivo
276,"Cancelaram a minha compra um dia antes da entrega, liguei para a lannister e os atendentes não sabiam o que estava acontecendo, uma bagunça, agora estou esperando para ver se vai ser cobrado",1,negativo
279,produto de qualidade e eficiência na entrega. recebi muito antes do combinado. recomendo,5,positivo
281,Produto bom veio no dentro do prazo chegou em 08 dias estão de parabéns. ,5,positivo
288,"Tudo ok,o baratheon sempre responsável com a suas entregas.",5,positivo
292,o acabento que estava na foto era bonito a que chegou foi de um sintetico feio com um acabento todo borrado orrivel nao gostei,1,negativo
296,E muito desordenado comprei três produtos mais não veio no dia sertões veio separado e em data separada ,1,negativo
297,A,5,positivo
298,entrega rapida,5,positivo
300,foi bom,4,positivo
301,Mercadoria certa entregue no prazo combinado. Grata,5,positivo
303,", muito ruim ! ",1,negativo
305,Passou dos dias previstos.,1,negativo
313,Entrega bem antes do prazo perfeito!!,5,positivo
314,Cada vez que compro mais fico satisfeita parabéns pela honestidade com seus clientes 👏👏👏👏?,5,positivo
319,bem rapido a entrega e bom comprar com vcs,5,positivo
320,Produto não recomendo não ler em nenhum dispositivo,1,negativo
321,"Entrega super rápida, parabéns!",4,positivo
324,Tudo rápido e eficiente.,4,positivo
327,Creme maravilhoso e entrega super rápida,5,positivo
330,"Tentando cancelar o produto desde antes da emissão da nota fiscal. Não fui avisada que estava no correio, não tive nenhuma resposta do cancelamento e nao consigo devolver. ",1,negativo
331,"Chegou hoje 
sem comentários",4,positivo
332,"Boa Noite

é lamentável, esta loja que tantas compras eu ja fiz e hoje não me da satisfação sequer de um relógio na importância de 50,00 reais ... um produto com defeito e até agora não me deu retor",1,negativo
335,Muito bom! Aquilo que esperava!,5,positivo
336,A capa protetora não é exatamente o que eu esperava deixa a desejar no tipo material e na qualidade.,2,negativo
345,"Recebi meu produto corretamente e dentro do prazo,verificando na caixa esta tudo correto,mas ainda não montei.Produto lindo,cor perfeita,amamos.
SUPER RECOMENDO.",5,positivo
347,Parabéns .Produto entregue bem antes do prazo.Atendeu às minhas necessidades.,5,positivo
348,Recomendo.,5,positivo
354,ótimo chegou bem antes do prazo .,5,positivo
358,Entregue no prazo produto muito bom.,5,positivo
361,"O produto foi embalado apenas com papel pardo sobre a embalagem e enviado pelos correios. Lógico, a embalagem chegou amassada e só deus sabe se o produto está funcionando ou não, ainda não testei.",2,negativo
363,Acho q deveriam mandar por sedex ao invés de pac,5,positivo
364,"Última vez que compro pois hoje vai fazer 1 mês que fiz a comprar e nada, e se demorar mas tempo de entregar estarei procurando meus direitos contra as lojas lannister e a targaryen.",1,negativo
369,Lindo... Só faltou instruções da troca de pulseiras.,5,positivo
372,"Produto exatamente conforme descrito.
Chegou bem antes do prazo!",5,positivo
379,"O produto chegou bem antes do prazo estipulado, amei o atendimento! Super recomendo ",5,positivo
380,"Não gostei do produto, material de péssima qualidade.",1,negativo
381,"Dos dois produtos comprados, foi entregue apenas um!",1,negativo
382,Nao compro mais na lannister. Se é parceiro da lannister ou não essa targaryen jamais uso novamente. Quando eu ler que é dessa empresa saio correndo. Um absurdo. Quase um mês para entregar. Extra.com ok,1,negativo
389,"recebi o produto dentro do prazo informado, ainda não utilizei.",5,positivo
391,"O pedido chegou antes do combinado, muito bom.",4,positivo
392,produto entregue conforme anunciado.,4,positivo
395,LOJA 10,5,positivo
396,"O violão que comprei é lindo, porém a cor do adesivo não confere com a foto do ato da compra, mas aprovei.",4,positivo
398,Nem fizeram a nota fiscal ,1,negativo
399,"Chegou antes do prazo!
Produto excelente!",5,positivo
404,trabalho com profissionalismo das lojas lannister. indico com certeza,4,positivo
408,"O MP3 player não funciona, mesmo trocando a pilha diversas vezes. Tive que devolver.",1,negativo
409,super recomendo o produto que é muito bom!,5,positivo
410,"Pré treino muito bom, um dos melhores do mercado, se não for o melhor. ",5,positivo
411," A loja postou o produto de e mediato o correio demorou um pouco
",4,positivo
412,"Sempre compro no stark e sempre sou bem atendido, site eficiente e produtos de ótima qualidade, recomendo a todos podem comprar de olhos fechados! ",5,positivo
413,Muito bom desde da compra a entrega td direitinho e rapido,4,positivo
414,Tudo ok!,5,positivo
419,A targaryen não é de confiança não entregou a minha compra e colocou no rastreamento do pedido que foi entregue no dia 14/12/17 empresa falsa quero receber meus produtos que foram pagos com boleto bancari,1,negativo
420,Entrega e qualidade do produto de acordo com o esperado.,5,positivo
421,Excelente recomendo,5,positivo
426,"Quando instalei o cartucho de tinta, a minha impressora indicou que o mesmo estava vazio, e apresentou a mensagem de erro ""!"" em cima do marcador de nível da tinta. Já solicitei a troca. ",1,negativo
427,"muito bom, recomendo o produto.",4,positivo
430,quanto ao site não tenho o que questionar! sempre cumprem super o combinado ... recomendo sempre! mas o produto é fraco.. ,5,positivo
432,bom em todos os aspectos,4,positivo
440,Até hoje estou satisfeito com a sbmarino,5,positivo
443,Não foram entregue as duas capas de couro compradas. Apenas uma delas. Aguardo a devolução do dinheiro ou a entrega da segunda capa.,1,negativo
445,Gostei!,5,positivo
456,Chegou antes do prazo é a cabeceira é linda.,5,positivo
463,10,5,positivo
464,Gostei do produto chegou no tempo certo os vendedores estão de parabéns,5,positivo
467,Atendimento excelente,5,positivo
468,Gostei ,4,positivo
471,No dia 19 de maio usei e a à alça quebrou sem muito peso ,1,negativo
472,Toalha do maior campeão do Brasil maravilhosa ,5,positivo
473,"A entrega foi realizado muito antes do previsto. 
Bom produto...estou satisfeita",5,positivo
477,Até agora tudo bem estou esperando a entrega do produto,5,positivo
479,"A compra ocorreu como o esperado, desde de o pedido até o recebimento do produto. Tudo bem certinho. ",5,positivo
483,"O produto foi entregue antes do prazo.
",5,positivo
486,"Gostei muito do produto era exatamente boque eu esperava, entrega dentro do prazo, parabéns recomendo a loja",4,positivo
488,comprei o produto na cor preta e chegou na cor vermelha.,2,negativo
492,"já é a segunda vez que compro nesta loja,super eficiente entrega rápida e antes do prazo contratado, produto bem embalado , Nota 10
Muito Obrigado",5,positivo
493,"otimo
",4,positivo
496,Pensei que a mochila fosse um material mais resistente.,2,negativo
499,"Comprei um produto e veio outro.
Mandei msg informando o erro , porém não obtive resposta.
Obrigado ",1,negativo
501,o produto demora muita para chegar !,1,negativo
511,"entrega rápida, produto conforme esperado",5,positivo
512,Tudo como anunciado....Ótimo produto...,5,positivo
514,"Somente foi entregue uma unidade, ao invés de duas.",1,negativo
515," adorei o produto;; recebi antes do prazo combinado ,, ficou muito bonito",4,positivo
517,Muito satisfeito.,5,positivo
518,Otimo produto porem caro demais !!! ,4,positivo
520,"Produtos otimos, entrega rápida.
Super recomendo!!!",5,positivo
522,"recebi sim mais com defeito os encaixes sao dois igual e nao fecham 
",2,negativo
525,Ainda não recebi,1,negativo
526,Tive um pós venda excelente através do Sr Renato,5,positivo
528,"Gostei muito do produto, a entrega veio antes do prazo. Recomendo, fica bem encaixado no celular, não tira a elegância do aparelho, como outras as capas que deixam monstruoso com o tamanho.",5,positivo
529,Muito bom,5,positivo
530,"Até agora nao recebi.Comprei este aparelho por questao de saude,portanto nao recomendo esta loja.",1,negativo
533,"Recomendo a todos. Produto de ótima qualidade, entregue sem problemas.",5,positivo
535,Produto chegou dentro do prazo. Veio conforme descrição e é excelente.,5,positivo
537,"o produto chegou antes do prazo, e gostei bastante!! agora meu rapazinho de 3 aninhos vai aproveitar ao maximo!!",4,positivo
538,"Gostaria de saber quando chegará meu produto?
Pois já se passou a data prevista para entrega , gostaria de uma resposta estou aguardando!",1,negativo
539,Loja Nota 10,4,positivo
541,Parabéns. Recebi antes do prazo . tudo correto como foi combinado.,5,positivo
542,"O produto entregue difere do pedido
trata-se de um produto inferior!
Gostaria que fosse solucionado o problema!
Não estou satisfeito com procedimento!",1,negativo
543,Muito bom mesmo!,5,positivo
544,"Comprei o produto, paguei no boleto e só recebi metade do produto, anunciaram uma coisa é mandaram outra. Muito insatisfeita 😡😡😡",2,negativo
545,Entrega antes do prazo produto muito bem conservado. ,5,positivo
546,Produto de ótima qualidade. Adorei!,5,positivo
549,"Apesar da demora em expedir a nota fiscal, depois de expedida a entrega foi rápida e o produto veio bem embalado. Recomendo.",5,positivo
551,Comprei o produto dia em inicio de março e não recebi no prazo abrindo até um protocolo para resolverem minha situação,2,negativo
552,"Não recebi o produto, assim como nenhum contato por parte do .vendedor",1,negativo
555,Nem ratrear estou conseguindo:(,1,negativo
556,nota 10,5,positivo
558,"comprei um produto para ser entregue por essa loja
e ainda não recebi
pois assim já se passou a data de entrega",2,negativo
559,Ótimo serviço,5,positivo
560,"Ótima compra. Ótimo produto. Só senti falta de algum comunicado entre a compra e a chegada do produto, só contato. Mas valeu.",4,positivo
561,veio conforme o pedido mais o pós venda não respondeu nenhuma das minhas perguntas,1,negativo
564,"Comprei duas mochilas, recebi apenas uma, o natal está chegando e até agora nada!",1,negativo
566,Perfeitos😁,5,positivo
570,"prazo foi estendido,porém entregue no prazo divulgado na propaganda. Cadeira conforme foto, vem para montar, mais fácil e linda",5,positivo
571,"Simplesmente lindo!!
Adorei o produto!!
Tamanho perfeito!!
Já comprei várias produtos, já faz anos que compro no baratheon !!",5,positivo
574,MUITO BOM! CHEGOU DENTRO DO PRAZO.,4,positivo
576,"Otimo, preço, entregou antes do prazo e produto de ótima qualidade.
",5,positivo
577,"comprei um relogio de presente de natal para meu filho e ate agora nao chegou. enviei mensagens e na ultima conversa o relogio chegaria ontem, porem nao recebi nada.",2,negativo
580,só poderia entregar mais rápido fim de ano ,5,positivo
582,"Otima Venda, tudo perfeito.",5,positivo
591,Produto de ótima qualidade!! Chegou antes do tempo esperado. Amei <3,5,positivo
593,"Veio bem embalado, Envio rápido! ",5,positivo
595,Estou muito satisfeita com a minha compra e com o recebimento do produto; dentro do prazo!,5,positivo
599,"Os pincéis vieram amassados, não condiz com algumas fotos, mas condiz com a descrição. São fracos, não cabem na case e um veio descolado ",1,negativo
600,Produto correspondente as minhas expectativas! Foi entregue antes do prazo estabelecido! ,5,positivo
604,Indico a loja compro sempre na lannister .,4,positivo
606,"O produto veio diferente da q mostra na foto, não é de luxo, nem acolchoado como dizia.",1,negativo
609,"Foi tudo normal , como é mesmo uma compra por internet. Obrigado.",5,positivo
612,Boa compra.,4,positivo
616,"Produto chegou dentro do prazo. Atende pelo custo benefício, porém a bolsa não é forrada e a alça é de plástico. Estou satisfeita.",4,positivo
618,Estou plenamente satisfeita com minha aquisição. E recomendo. A única coisa que não concordo é com o valor de frete. Autíssimo.,5,positivo
622,"parece que mantem bem o alimento sem murchar (batata palha) mas a tampa é estranha, parece que não fecha. e o inox da tampa é feio.",2,negativo
624,"Estou aguardando uma resposta até hoje, sobre os meus produtos, já foram pagos e ainda NÃO os recebi, foram 03 iguais e necessito falar com pessoas e NÃO máquina ou gravações.",1,negativo
628,Entrega e produto perfeito!,5,positivo
630,Parabéns 😤 pelo excelente atendimento de qualidade.,5,positivo
633,Produto entregue antecipadamente.,4,positivo
635,gostei de comprar recebi o produto antes do prazo e de boa qualidade. recomendo.,5,positivo
638,"Super recomendo, stark Sempre chegando antes da dta prevista =D",5,positivo
639,Correios não entregou ,4,positivo
641,"Entrega feita no prazo e produto em perfeitas condicoes
Parabens a equipe",4,positivo
643,"Gostaria de receber os produtos corretos, tentei realizar a troca pela devolução de dinheiro no cartão, mas o site da lannister não possibilita que seja realizado.",1,negativo
644,"Produto perfeito, entrega rápida. Estou satisfeitíssima. 👏🏽",5,positivo
646,"meu produto veio com defeito,devolvi conforme informado.postado no correio conforme indicado.e até hoje não recebi nenhuma notificação da empresa quanto a devolução e análise para ter meuressarcimento",1,negativo
647,O pedido chegou antes do prazo. Obrigada.,5,positivo
648,Só recebemos 1 cartucho já abrimos reclamação no site e ainda não obtive resposta. ,1,negativo
650,"Produto de alta qualidade. Descrição confere com o produto
Entregue no tempo certo.
Recomendo.",4,positivo
651,O tampo da mesa chegou todo amassado e batido.,1,negativo
652,Dentro do prazo porém poderiam agilizar como no meu outro produto que foi entregue em 2 dias.,2,negativo
656,O relógio é lindo e a entrega foi muito rápida. Recomendo!,5,positivo
660,"Adorei! Pequeno, fácil de usar, não arranha apela e limpa a pele.. recomendo",5,positivo
662,"Como sempre, excelente serviço.",5,positivo
664,Até o momento eu n recebir o produto,1,negativo
666,Como sempre lannister entrega certinho,4,positivo
669,"Produto perfeito, chegou antes do prazo!",5,positivo
671,"Muito bom o produto, melhor que esperava e foi entregue no prazo, gostei bastante. ",5,positivo
672,Muito bom o produto e preço cobrado!,1,negativo
674,Sdds ,5,positivo
675,muito bom o produto.Recomendo,5,positivo
680,entrega dentro do prazo isso é importante. ,5,positivo
681,"Gostei muito , o objeto veio o mesmo comprado, já comprei em outras lojas e veio outra cor ñ Gostei! Com lannister tudo ok.",5,positivo
685,O produto não está nas medidas corretas indicadas na oferta. Terei q ligar para vcs para troca,2,negativo
686,No aguardo de um retorno urgente.,1,negativo
688,"Produto mais que passou do prazo de entregar, tento resolver o problema com a empresa e não consigo falar com ninguém. Tudo que fazem é me passar para reclamar num sistema que não funciona.",1,negativo
692,Deram um prazo muito grande para a entrega do produto e não conseguiram entregar no prazo ,1,negativo
693,Excelente produto indico a qualquer pessoa.,2,negativo
694,tudo certinho entrega no prazo ótimo.,5,positivo
698,Não recebi o produto.e agora?,1,negativo
709,Recomendo!,4,positivo
711,"comprei tapete de borracha para tr4 mitsubishi a loja entregou um tapete de pvc horrivel
no titulo ta tapete borracha tr4,
me enganaram e agora o que fazer sendo que tem despesa para devoluçao, por",1,negativo
713,Ótimo perfume. Fragrância maravilhosa. Recomendo,5,positivo
716,muito boa e rapida e o produto veio em bom estado agora e mesmo fazer os testes!,4,positivo
717,O produto superou minha expectativa. O prazo de entrega foi antecipado em 7 dias. Já instalei e ficou show. ,5,positivo
721,entrega rapida,5,positivo
724,"Previsão de entrega até 18/10, recebi em 05/10, excelente.",5,positivo
727,Loja em si é boa pena a americana nao da suporte ao cliente ,5,positivo
729,Exatamente o que eu precisava ,5,positivo
731,"Obrigada, chegou mto rápido",5,positivo
734,O único problema é que a marcação de data é a marcação americana.,4,positivo
735,Acho que o produto deveria ter um prazo de validade maior.,4,positivo
740,"Entrega antes do prazo, recomendo essa loja.",5,positivo
743,show ,5,positivo
754,"Excelente produto, bonito e sofisticado.",5,positivo
755,Não veio a nota fiscal,4,positivo
756,"agradeço muito, pois recebi o produto correto conforme encontrado no site, a entrega foi super rápida. fiquei muito satisfeito e com certeza vou recomentar para os amigo.",5,positivo
757,Entrega rápida produto conforme anunciado,5,positivo
760,"MEU PRODUTO AINDA NÃO FOI ENTREGUE, JÁ FIZ MINHA RECLAMAÇÃO E ATÉ AGORA NÃO TIVE NENHUMA PREVISÃO DE ENTREGA. ESTOU SUPER INSATISFEITO E QUERO MEU DINHEIRO DE VOLTA. FOI DENUNCIAR AO PROCON.",1,negativo
761,A cortina não é o modelo que pedi. |,1,negativo
765,Comprei Rosa com Braços Brancos e entregam toda Preta ?,1,negativo
766,Preciso de uma previsão.,1,negativo
767,Estou muito satisfeita chegou antes do prazo super recomendo ,5,positivo
769,Produto chegou antes do prazo estipulado e atendeu plenamente minhas expectativas. ,4,positivo
772,"Entrega dentro do prazo, produto sem nenhum problema",4,positivo
774,bom,5,positivo
775,Boa qualidade e preço.,5,positivo
780,Sempre entrega antes do prazo.,5,positivo
784,muito bom.super recomendo.entrega sempre certa.,5,positivo
787,Entregue antes do prazo! Produto perfeito!,5,positivo
789,"Recomendo para todos, não tive problema nenhum, mercadoria e prazo ótimos.",5,positivo
790,Gostei de ter comprado nesta loja. Atendimento perfeito.,5,positivo
794,Sempre compro e sempre recebo o produto certo no prazo ou antes do prazo,5,positivo
796,ENTREGA MUITO RAPIDA ,5,positivo
800,O produto foi entregue bem antes do prazo.adorei,5,positivo
802,Ainda nao instalei mais gostei muito,5,positivo
804,Bom produto. Entrega rápida. Recomendo,5,positivo
806,Produto recebido no prazo e em perfeitas condições.,5,positivo
807,muito bom,5,positivo
810,"Recebi outra boneca, quero devolver e não consigo contato! Jamais compraria novamente dessa loja! ",1,negativo
812,N/a,5,positivo
813,"O produto chegou como eu imaginava,por enquanto estou gostando
",4,positivo
816,Ótima rápida na entrega OBRIGADO ,5,positivo
818,Penso que deveria haver um modo de se comunicar com a empresa caso acontecesse de encomenda não ser entregue ,2,negativo
819,"Produto bom, prazo bom...",5,positivo
821,Muito bom. Já é o segundo objeto que compro e recebi sem problema nenhum ,5,positivo
823,Bonito e de boa qualidade. Adorei ,5,positivo
826,O produto chegou antes do prazo. ,5,positivo
833,"Boa noite , não gostei pois nunca conseguimos falar com vcs pelo telefone
",1,negativo
834,Vendedor compromisso do vou o cliente,5,positivo
842,Muito satisfeito entrega super rápida.. Show ..parabéns.. eu vacilei e comprei um celular nas casas Bahia tem quase um mês e não entregaram.. ,5,positivo
846,ótimo,5,positivo
847,Tudo cento e no prazo recomento,5,positivo
849,Não recebi o jogo na cor tabaco. Só o vermelho. ,1,negativo
851,"Nao foi entregue na minha casa , por isso nao gostei , nao tenho tempo de esta indo nos correios..",1,negativo
853,Compra perfeita. ,5,positivo
859,O produto veio estragado,1,negativo
862,"Minha mercadoria não foi entregue , já paguei a primeira fatura quero cancelar a compra pois paguei o frete e não recebi a mercadoria.
",1,negativo
863,PRODUTO JA CHEGOU COM DEFEITO NÃO FUCIONOU CONFORME MINHA NECESSIDADE DE USO. INFELIZMENTE ULTIMA COMPRA MINHA TOTALMENTE INSATISFEITO.,1,negativo
869,COMPREI DOIS PENDENTES SÓ CHEGOU UM. PRECISO SABER O QUE FOI QUE HOUVE?,1,negativo
870,"Recomendo esta loja entrega direitinho
",4,positivo
871,"Tudo conforme e entrega muito rápida!!!! Que pena que não verifiquei a cor, pois era preta e precisava de cinza. Outro ponto que tive que lixar pouco para funcionar, mas nada demais.",4,positivo
874,Entrega rapida e correta,5,positivo
875,Produto de fácil montagem e atende perfeitamente ao propósito para otimizar espaço.,4,positivo
878,Produto veio com amassados e também não está funcionando corretamente.,1,negativo
879,Gostei do produto,4,positivo
882,Produto de ótima qualidade,5,positivo
885,Estou esperando há mais de vinte dias e ainda não recebi meu produto e não consigo nenhuma informação. ,1,negativo
888,Estou aguardando posição da empresa para fazer a devolução do produto.,1,negativo
892,fornecedor não enviou o produto correto. solicitei o sabor chocolate e me foi enviado outro sabor.,1,negativo
893,Recomendo está loja.,5,positivo
896,Ótimo produto. ,5,positivo
898,Excelente,5,positivo
900,"Continuem assim, com essa responsabilidade com o consumidor, tanto no produto, quanto no prazo de entrega. Primeira vez que compro e vou comprar muitas. Obrigado.",5,positivo
901,"Adorei. Moderno, bonito, meu cantinho do café vai ficar top",5,positivo
902,"bom , foi o que esperava.",4,positivo
903,"Tudo correu como combinado, nada a reclamar.",4,positivo
907,"De fácil manuseio, até o presente atende as expectativas. ",4,positivo
908,Relógio lindo entrega antes do prazo,5,positivo
912,Veio conforme o anunciado simples mais bonita. ,4,positivo
914,Produto condiz com o anúncio ,5,positivo
915,O produto ainda não chegou,1,negativo
916,satisfeito eu recomendo,4,positivo
919,"Amei, chegou rapidinho, ainda vou testa-lo.Obrigado!!",5,positivo
922,Gostei muito do que comprei com vcs muito obrigada breve farei outras compras vanda,5,positivo
924,Ainda não recebi o produto...,1,negativo
925,"Recebi, a bolsa é diferente mas gostei estava previsto pra 31 de janeiro estava achando muito tempo porque é pra escola e estou aguardando o vale compra da primeira compra da bolsa que não deu certo ",4,positivo
927,"Recebi o produto que queria e antes do prazo combinado, muito bom, recomendo com certeza.",5,positivo
933,Produto entregue antes do prazo combinado. Não é a primeira vez que compro pelo site Lojas lannister e recomendo tal empresa pela seriedade no trato com os clientes.,5,positivo
934,Comprei 2 produtos so mandaram 1 e n mim deram nenhuma justificativa ! ,1,negativo
938,Agradeço muito bom.,4,positivo
939,*******************,4,positivo
940,Dentro do previsto,5,positivo
943,Recebi antes do prazo estimado.,5,positivo
